sentiment,text,clean_teks
positive,<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>,produk bangsa
positive,"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>",sakti alhamdulillah v
negative,Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>,selamat pagi bantu kamar sinyal hilang panggil darurat
negative,Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,dear jaring data lot banget h
negative,Selamat malam PENDUSTA <PROVIDER_NAME> ,selamat malam dusta
negative,Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,tembak paket ganggu ya
positive,"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>",pakai paket nya off ganti paket gratis youtube senang banget
negative,RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,rt kamus perhapean
negative,keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,keluh tanggap bikin emosi pulsa curi soak deh pulsa kurang
negative,#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,iklan pesan sembunyi
negative,"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!",mampus puasa subuh sahur cek pulsa sedot sisa ribu tolong baca
negative,<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya ,coba pakai parah koneksi
negative,"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>",tuju sila boikot langgan dukung
negative,"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>",bela bela daftarin kartu tunggu jam siang puasa rumah sinyal gnya kota
negative,<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>,data hilang
negative,#internetlelet  <PROVIDER_NAME> ga sesuai iklan ,sesuai iklan
positive,<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya ,kangen nih kirim pos marchandes nya langsung pos nya
negative,"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai… <URL>",mbps kecepatanya kbps kuota full buka google bikin uras uang baterai
negative,kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte… <URL>,kuota koneksi internetnya lambat banget
negative,Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>,ampun sinyal lot siput acara live streaming ganggu mundur
negative,Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>,jaring nabire bagus berita hoax
negative,Makin jelek jaringan di takalar <PROVIDER_NAME>,jelek jaring takalar
positive,Jadi stabil disini. <PROVIDER_NAME> <URL>,stabil
positive,#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.,cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubung jarak
negative,<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>,kualitas provider ganggu trouble mahal hari
negative,<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...,sinyal tahi
negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,jaring internet sumba timur parah
negative,"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>",ajaib kuota hilang usage bukti guna lebih batas
negative,"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan",tahun pakai aktif bayar layan muas
negative,cepat banget data <PROVIDER_NAME> habis <URL>,cepat banget data habis
negative,<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! ,tolol nama provider urus chat app
negative,"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>",tinggal
positive,"Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu",hore sinyal sambu
positive,Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda… <URL>,alhamdulillah kunjung vendor mitra
negative,Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...,lambat jaring lot
negative,"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER",tega pesan suka telat bikin
negative,Jaringan 4G kecepatan 2G <PROVIDER_NAME>,jaring cepat
negative,Paket extra combo kok lemot ya <PROVIDER_NAME>,paket extra combo lot ya
negative,Kenapa! Masa buka Facebook aja gak bisa <PROVIDER_NAME>,buka facebook
